Symbol|Security Name|Financial Status
HON32|Honeywell International Inc. 0.750% Senior Notes due 2032|N
HON32A|Honeywell International Inc. 3.750% Senior Notes due 2032|N
HON34|Honeywell International Inc. 4.125% Senior Notes due 2034|N
HON36|Honeywell International Inc. 3.750% Senior Notes due 2036|N
KHC29|The Kraft Heinz Company Kraft Heinz Foods Company 550,000,000 3.500% senior notes due 2029|N
KHC31|The Kraft Heinz Company 3.500% Senior Notes due 2031|N
KHC33|The Kraft Heinz Company 3.250% Senior Notes Due 2033|N
KHC34|The Kraft Heinz Company 3.950% Senior Notes due 2034|N
LINE31|Lineage, Inc. 4.125% Senior Notes due 2031|N
LKQ31|LKQ Corporation 4.125% Notes due 2031|N
MDLZ27|Mondelez International, Inc. 1.625% Notes due 2027|N
MDLZ28|Mondelez International, Inc. 0.250% Notes due 2028|N
MDLZ33|Mondelez International, Inc. 0.750% Notes due 2033|N
MDLZ35|Mondelez International, Inc. 2.375% Notes due 2035|N
MDLZ35A|Mondelez International, Inc. 4.500% Notes due 2035|N
MDLZ41|Mondelez International, Inc. 1.375% Notes due 2041|N
MDLZ45|Mondelez International, Inc. 3.875% Notes due 2045|N
MELI31|MercadoLibre, Inc. 3.125% Notes due 2031|N
MELI33|MercadoLibre, Inc. 4.900% Notes due 2033|N
MSFT28|Microsoft Corporation 3.125% Notes due 2028|N
MSFT33|Microsoft Corporation 2.625% Notes due 2033|N
NDAQ29|Nasdaq, Inc. 1.75% Senior Notes Due 2029|N
NDAQ30|Nasdaq, Inc. 0.875% Notes due 2030|N
NDAQ32|Nasdaq, Inc. 4.500% Senior Notes due 2032|N
NDAQ33|Nasdaq, Inc. 0.900% Senior Notes due 2033|N
PCAR34|PACCAR Financial Corp. Medium-Term Notes, Series Q - Fixed Rate due 2034|N
PEP27|PepsiCo, Inc. Senior Notes 2027|N
PEP28|PepsiCo, Inc. Senior Notes Due 2028|N
PEP28A|PepsiCo, Inc. 0.500% Senior Notes due 2028|N
PEP28B|PepsiCo, Inc. Floating Rate Notes due 2028|N
PEP29|PepsiCo, Inc. 3.200% Senior Notes due 2029|N
PEP31|PepsiCo, Inc. Senior Notes 2031|N
PEP32|PepsiCo, Inc. 0.400% Senior Notes due 2032|N
PEP33|PepsiCo, Inc. 0.750% Senior Notes due 2033|N
PEP34|PepsiCo, Inc. 3.550% Senior Notes due 2034|N
PEP34A|PepsiCo, Inc. 3.300% Senior Notes due 2034|N
PEP37|PepsiCo, Inc. 3.450% Senior Notes due 2037|N
PEP38|PepsiCo, Inc. 3.700% Senior Notes due 2038|N
PEP39|PepsiCo, Inc. Senior Notes due 2039|N
PEP47|PepsiCo, Inc. 4.150% Senior Notes due 2047|N
PEP50|PepsiCo, Inc. 1.050% Senior Notes due 2050|N
PEP55|PepsiCo, Inc. 4.050% Senior Notes due 2055|N
TMUS29|T-Mobile US, Inc. 3.550% Senior Notes due 2029|N
TMUS32|T-Mobile US, Inc. 3.700% Senior Notes due 2032|N
TMUS32A|T-Mobile US, Inc. 3.150% Senior Notes due 2032|N
TMUS32B|T-Mobile US, Inc. 3.200% Senior Notes due 2032|N
TMUS35|T-Mobile US, Inc. 3.625% Senior Notes due 2035|N
TMUS36|T-Mobile US, Inc. 3.850% Senior Notes due 2036|N
TMUS37|T-Mobile US, Inc. 3.50% Senior Notes due 2037|N
TMUS38|T-Mobile US, Inc. 3.900% Senior Notes due 2038|N
TMUS45|T-Mobile US, Inc. 3.800% Senior Notes due 2045|N
TRI35|Thomson Reuters Corp 5.500% Debentures Due 2035|N
TRI40|Thomson Reuters Corp 5.850% Notes Due 2040|N
TRI43A|Thomson Reuters Corp 4.500% Notes Due 2043|N
TRI43B|Thomson Reuters Corp 5.650% Notes Due 2043|N
VOD31|Vodafone Group Plc 4.800% Notes due 2031|N
VOD32|Vodafone Group Plc 6.250% Notes due November 2032|N
VOD36|Vodafone Group Plc 5.350% Notes due 2036|N
VOD37|Vodafone Group Plc 6.150% Notes due February 2037|N
VOD38|Vodafone Group Plc 5.000% Notes due May 2038|N
VOD43|Vodafone Group Plc 4.375% Notes due February 2043|N
VOD48|Vodafone Group Plc 5.25% Notes due May 2048|N
VOD49|Vodafone Group Plc 4.875% Notes due June 2049|N
VOD50|Vodafone Group Plc 4.25% Notes due September 2050|N
VOD53|Vodafone Group Plc 5.625% Notes due 2/10/2053|N
VOD54|Vodafone Group Plc U.S.$2,000,000,000 5.750% Notes due 2054|N
VOD56|Vodafone Group Plc 6.100% Notes due 2056|N
VOD59|Vodafone Group Plc 5.125%Notes due June 2059|N
VOD63|Vodafone Group Plc 5.750% Notes due 2/10/2063|N
VOD64|Vodafone Group Plc 5.875% Notes due 2064|N
VOD79|Vodafone Group Plc Capital Securities due April 2079|N
VOD81A|Vodafone Group Plc U.S.$500,000,000 NC5.25 Capital Securities Due 2081|N
VOD81B|Vodafone Group Plc U.S.$1,000,000,000 NC10 Capital Securities Due 2081|N
VOD81C|Vodafone Group Plc U.S.$950,000,000 NC30 Capital Securities Due 2081|N
WBDI30|Warner Bros. Discovery, Inc. 4.302% Senior Notes due 2030|N
WBDI30A|Warner Bros. Discovery, Inc. 4.302% Senior Notes due 2030|N
WBDI33|Warner Bros. Discovery, Inc. 4.693% Senior Notes due 2033|N
WBDI33A|Warner Bros. Discovery, Inc. 4.693% Senior Notes due 2033|N
WMT26A|Walmart Inc. 1.050% Notes due 2026|N
WMT28C|Walmart Inc. 1.500% Notes due 2028|N
WMT29B|Walmart Inc. 4.875% Notes due 2029|N
WMT30B|Walmart Inc. 5.750% Notes due 2030|N
WMT31A|Walmart Inc. 1.800% Notes due 2031|N
WMT34|Walmart Inc. 5.625% Notes due 2034|N
WMT35A|Walmart Inc. 5.250% Notes due 2035|N
WMT39|Walmart Inc. 4.875% Notes due 2039|N
File Creation Time: 0714202618:01|||||
